architecture,architecture_id,noise_case,noise_std,noise_std_percent,model_type,mse_all_mean,mse_all_std,rmse_all_mean,rmse_all_std,mse_O2X_mean,mse_O2X_std,rmse_O2X_mean,rmse_O2X_std,mse_O2plus_mean,mse_O2plus_std,rmse_O2plus_mean,rmse_O2plus_std,mse_ne_mean,mse_ne_std,rmse_ne_mean,rmse_ne_std,phys_rmse_P_mean,phys_rmse_P_std,phys_rmse_I_mean,phys_rmse_I_std,phys_rmse_ne_mean,phys_rmse_ne_std,projection_failures_mean,projection_failures_std,resampled_impossible_values_mean,resampled_impossible_values_std,outside_domain_fraction_any_mean,outside_domain_fraction_any_std,outside_domain_fraction_P_mean,outside_domain_fraction_P_std,outside_domain_fraction_I_mean,outside_domain_fraction_I_std,outside_domain_fraction_R_mean,outside_domain_fraction_R_std,actual_abs_noise_mean_P_percent_mean,actual_abs_noise_mean_P_percent_std,actual_abs_noise_mean_I_percent_mean,actual_abs_noise_mean_I_percent_std,actual_abs_noise_mean_R_percent_mean,actual_abs_noise_mean_R_percent_std,n_valid_mean,n_valid_std
"[30, 30, 30]",30_30_30,P_I_R,0.01,1.0,NN,0.0029669866192723023,1.8880832379401834e-05,0.05446979076041547,0.00017324697569945325,0.0006801461137524802,2.2116711019703035e-05,0.026076315178940657,0.0004253796335771414,0.0037492825485681176,6.990341917911798e-05,0.06122886311863107,0.0005701982739710678,0.0039446469406719965,7.012863370129103e-05,0.06280407080368278,0.0005578446850406844,0.027546661883761075,0.0002017913466862504,0.2633742686832946,0.001976854917247376,0.007533815152668396,9.821196002434864e-05,0.0,0.0,0.0,0.0,0.01566666666666667,0.0046010423431299624,0.005,0.002961744388795462,0.0021666666666666666,0.002483866067901982,0.0085,0.00411458680324082,0.7993655614048701,0.025554827547710508,0.7933457410210879,0.038871413537426534,0.8011169765841764,0.0378445511792988,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.01,1.0,NN_projection,0.0027255654393083203,1.5584899036168935e-05,0.0522067457429348,0.0001491669530171136,0.00030075064067768985,2.2291537812874466e-05,0.017330821619513805,0.0006433977817500063,0.0017475767672569319,5.931522710359712e-05,0.04179835509359601,0.0007065697168928678,0.0013545572265687058,6.065412060155633e-05,0.036795582387130134,0.0008222839569885155,2.430242312215114e-06,1.1360195117670699e-08,1.309341902321113e-09,1.0892709178141957e-10,0.0079386157575265,0.00013522428899935746,0.0,0.0,0.0,0.0,0.01566666666666667,0.0046010423431299624,0.005,0.002961744388795462,0.0021666666666666666,0.002483866067901982,0.0085,0.00411458680324082,0.7993655614048701,0.025554827547710508,0.7933457410210879,0.038871413537426534,0.8011169765841764,0.0378445511792988,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.02,2.0,NN,0.0030871153184788254,4.05461612368252e-05,0.0555606781303168,0.00036471211164481877,0.000872369508418604,4.805715455162331e-05,0.029525162660136512,0.0008171054889602944,0.003859002432904885,0.0001485133469363229,0.062109999598193036,0.0011922481273656717,0.0040488166202156915,0.00014901302541782817,0.06362011892252968,0.0011684846231773166,0.027647066901068874,0.00040705102549208735,0.265423272708561,0.0041403582102865055,0.00759727498984817,0.00020570430771686126,0.0,0.0,0.0,0.0,0.024666666666666667,0.005962847939999439,0.006333333333333334,0.00322635347182329,0.005666666666666667,0.0036031175584972075,0.013000000000000001,0.005913608055486779,1.5987311228097403,0.051109655095421015,1.5866914820421758,0.07774282707485307,1.6022339531683527,0.0756891023585976,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.02,2.0,NN_projection,0.0028485080309279946,3.385071389651139e-05,0.053370522446072974,0.0003168342771442849,0.0005090930440379773,5.010158312875984e-05,0.022536900251011308,0.0011150506780759784,0.0018795467707861582,0.00012860056529503692,0.04333002967028683,0.0014708749842119464,0.0014784634691713758,0.00013041546570335158,0.03841556459786302,0.00168830834013122,2.431667039135831e-06,2.258570838885462e-08,1.3619810085461577e-09,1.4575161499758814e-10,0.008016188793732986,0.00028004095830141615,0.0,0.0,0.0,0.0,0.024666666666666667,0.005962847939999439,0.006333333333333334,0.00322635347182329,0.005666666666666667,0.0036031175584972075,0.013000000000000001,0.005913608055486779,1.5987311228097403,0.051109655095421015,1.5866914820421758,0.07774282707485307,1.6022339531683527,0.0756891023585976,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.05,5.0,NN,0.003889276886996374,0.00013025749329138446,0.06235573519497284,0.0010458817940652465,0.0021841048988200263,0.00016836322116856834,0.046700585713069495,0.0018238746714433058,0.00459817518630461,0.00044031020697579367,0.06773707642537466,0.0032222358448040175,0.004760097885253539,0.000442748763338054,0.0689235213496605,0.0031864994844918526,0.02842080472295607,0.001053150900261518,0.2787087664286453,0.01233303216945094,0.00790034637776052,0.0006032352910201883,0.0,0.0,0.0,0.0,0.06466666666666668,0.01432292563795572,0.016833333333333332,0.0067082039324993705,0.017,0.007246697170645461,0.03166666666666666,0.011055415967851335,3.9968278070243506,0.12777413773855265,3.96672870510544,0.19435706768713298,4.005584882920882,0.18922275589649407,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.05,5.0,NN_projection,0.0036714114048493006,0.00011538731950523322,0.0605850580929404,0.0009526366316356563,0.0019472106946935518,0.00018143759560559935,0.04408022053218771,0.0020887801847639382,0.002708777776779631,0.00041100909997360133,0.05190858591031979,0.0038765809095102806,0.002271094548686154,0.0004101494460006355,0.04747535825875817,0.004253160668530286,2.4514643033827928e-06,5.4820552860758866e-08,1.3799561646965273e-09,2.1569137130169123e-10,0.008363599067043034,0.0007839008296495388,0.0,0.0,0.0,0.0,0.06466666666666668,0.01432292563795572,0.016833333333333332,0.0067082039324993705,0.017,0.007246697170645461,0.03166666666666666,0.011055415967851335,3.9968278070243506,0.12777413773855265,3.96672870510544,0.19435706768713298,4.005584882920882,0.18922275589649407,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.1,10.0,NN,0.0067635952355931655,0.00041191240559315087,0.0822044427498301,0.0025183176888909473,0.00682379958896194,0.0005628076158626123,0.08253595178109707,0.0034968034350727224,0.007298544875657839,0.0011687206074577434,0.08517616493456667,0.006771908127064708,0.007381873205453001,0.001179901692175186,0.0856623130119817,0.00679328886245142,0.03145450796613779,0.0023078112083879587,0.33002166324663246,0.034523139744160956,0.008866023800687373,0.001627222287725011,0.0,0.0,0.0,0.0,0.121,0.017205330331407927,0.0315,0.009395469855263737,0.034333333333333334,0.00859076071082435,0.059,0.013027187046295961,7.993655614048701,0.2555482754771053,7.93345741021088,0.38871413537426597,8.011169765841764,0.37844551179298813,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.1,10.0,NN_projection,0.006637349950253324,0.00039331616936841236,0.08143572351928438,0.0024220228918031147,0.007079049171318595,0.0005941215788942037,0.084062965118247,0.0036225996549414906,0.005729343430208666,0.0012245513134980803,0.07529742826496374,0.007923364974375634,0.005193435141164667,0.0012142357196728902,0.07161048808231364,0.008295410130876995,2.542742581769877e-06,1.0539154817569697e-07,1.350888197011036e-09,1.8942414352597375e-10,0.009394413494271468,0.001944800755956453,0.0,0.0,0.0,0.0,0.121,0.017205330331407927,0.0315,0.009395469855263737,0.034333333333333334,0.00859076071082435,0.059,0.013027187046295961,7.993655614048701,0.2555482754771053,7.93345741021088,0.38871413537426597,8.011169765841764,0.37844551179298813,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.005,0.5,NN,0.0029245765936252123,5.138014493040715e-06,0.054079334778019406,4.750171312967129e-05,0.0006276019556959091,1.1391492405171802e-05,0.02505100326177102,0.0002275528270575345,0.003705888072795093,6.902170159649462e-06,0.06087598062776835,5.67116684002582e-05,0.0039049534668940795,7.444171707525837e-06,0.062489599888475245,5.9583398902924935e-05,0.02752442949139373,8.228131263027907e-05,0.26236572163298083,0.00011138913269183589,0.007490305427493578,4.844999774517315e-06,0.0,0.0,0.0,0.0,0.003,0.002840805420755968,0.003,0.002840805420755968,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.005,0.5,NN_projection,0.002682225150681001,5.128492364861269e-06,0.05179018074991866,4.950886954622901e-05,0.00024530091559830523,1.0039191162081439e-05,0.01565898241595411,0.00031984419750753985,0.0016848956703576761,1.8723029887584946e-06,0.041047474659583735,2.2813396511613606e-05,0.001297837162479391,1.984427014537005e-06,0.03602549709693921,2.7556598509207576e-05,2.43143799772682e-06,9.373569343646693e-10,1.2771335119758345e-09,7.561955999535166e-11,0.007881771846196737,8.697066066030718e-06,0.0,0.0,0.0,0.0,0.003,0.002840805420755968,0.003,0.002840805420755968,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,0.0,0.0,0.0,0.0,300.0,0.0
